,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
0,Horto flat with small garden,Brazil,Apartment,317.00,Entire home/apt,1.0,2.0,4,flexible,0,2,0.00,1125,1,0.0,2019-02-11,Ynaie,1,2019-02-11,0,-43.23074991429229,-22.966253551739655
1,Ribeira Charming Duplex,Portugal,House,80.00,Entire home/apt,3.0,5.0,8,moderate,51,2,15.00,30,6,9.0,2019-02-16,Ana&Gonçalo,3,2019-02-16,239,-8.61308,41.1413
2,Private Room in Bushwick,United States,Apartment,40.00,Private room,1.0,1.0,1,flexible,1,14,0.00,1125,1,10.0,2019-03-06,Josh,1,2019-03-06,0,-73.93615,40.69791
3,New York City - Upper West Side Apt,United States,Apartment,135.00,Private room,1.0,1.0,2,strict_14_with_grace_period,70,12,0.00,360,1,9.0,2019-03-07,Greta,3,2019-03-07,93,-73.96523,40.79962
4,Nice room in Barcelona Center,Spain,Apartment,50.00,Private room,1.0,2.0,2,flexible,0,1,0.00,9,1,0.0,2019-03-08,Anna,1,2019-03-08,0,2.16942,41.40082
5,Charming Flat in Downtown Moda,Turkey,House,527.00,Entire home/apt,2.0,6.0,6,flexible,1,2,211.00,1125,1,10.0,2019-02-18,Zeynep,2,2019-02-18,362,29.03133,40.98585
6,Deluxe Loft Suite,United States,Apartment,205.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,5,3,0.00,1125,1,10.0,2019-03-07,Mae,13,2019-03-07,243,-73.94472,40.72778
7,Ligne verte - à 15 min de métro du centre ville.,Canada,Apartment,43.00,Entire home/apt,0.0,1.0,2,moderate,0,2,12.00,1125,1,0.0,2019-03-11,Caro,1,2019-03-11,32,-73.54949,45.54548
8,Be Happy in Porto,Portugal,Loft,30.00,Entire home/apt,1.0,1.0,2,moderate,178,2,0.00,1125,1,10.0,2019-02-16,Fábio,3,2019-02-16,335,-8.61123,41.15225
9,Copacabana Apartment Posto 6,Brazil,Apartment,119.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,70,3,40.00,75,3,10.0,2019-02-11,Ana Valéria,2,2019-02-11,118,-43.190849194463404,-22.984339360067814
10,"Soho Cozy, Spacious and Convenient",Hong Kong,Apartment,699.00,Entire home/apt,1.0,2.0,3,flexible,3,4,0.00,20,1,10.0,2019-03-11,Giovanni,1,2019-03-11,0,114.15027,22.28158
11,3 chambres au coeur du Plateau,Canada,Apartment,140.00,Entire home/apt,3.0,3.0,6,flexible,0,1,0.00,1125,1,0.0,2019-03-11,Margaux,2,2019-03-11,0,-73.57383,45.52233
12,Ótimo Apto proximo Parque Olimpico,Brazil,Apartment,858.00,Entire home/apt,2.0,2.0,5,strict_14_with_grace_period,0,15,75.00,20,1,0.0,2019-02-11,Jonathan,1,2019-02-11,0,-43.4311123147628,-23.00035792660916
13,Ocean View Waikiki Marina w/prkg,United States,Condominium,115.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,96,3,0.00,365,1,8.0,2019-03-06,David,18,2019-03-06,343,-157.83919,21.28634
14,Apt Linda Vista Lagoa - Rio,Brazil,Apartment,701.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Livia,1,2019-02-11,363,-43.205047082633435,-22.971950988341874
15,Catete's Colonial Big Hause Room B,Brazil,House,250.00,Private room,1.0,8.0,8,strict_14_with_grace_period,1,2,40.00,1125,4,6.0,2019-02-11,Beatriz,5,2019-02-11,296,-43.18015675229857,-22.92638234778768
16,Modern Spacious 1 Bedroom Loft,Canada,Apartment,50.00,Entire home/apt,1.0,2.0,4,flexible,0,1,31.00,1125,1,0.0,2019-03-11,Konstantin,1,2019-03-11,0,-73.59111,45.51889
17,Double Room en-suite (307),Hong Kong,Apartment,361.00,Private room,1.0,1.0,2,strict_14_with_grace_period,0,1,130.00,1125,2,0.0,2019-03-11,Ken,6,2019-03-11,365,114.17158,22.30469
